FIPS,votes_dem_2016,votes_gop_2016,total_votes_2016,per_dem_2016,per_gop_2016,diff_2016,per_point_diff_2016,state_abbr,county_name,,total_votes_2012,votes_dem_2012,votes_gop_2012,per_dem_2012,per_gop_2012,diff_2012,per_point_diff_2012
1071,3663,16643,20785,0.17623286,0.800721674,12980,-0.624488814,AL,Jackson County,,20555,5817,14422,0.282996838,0.701629774,8605,-0.418632936
1073,151581,130614,290111,0.522493115,0.450220778,20967,0.072272337,AL,Jefferson County,,303424,159658,141413,0.526187777,0.466057398,18245,0.060130379
1075,1035,5819,6931,0.149329101,0.839561391,4784,-0.69023229,AL,Lamar County,,7159,1643,5453,0.229501327,0.761698561,3810,-0.532197234
1077,9877,27735,38813,0.254476593,0.714580166,17858,-0.460103574,AL,Lauderdale County,,36908,12504,23902,0.338788339,0.647610274,11398,-0.308821936
1079,3611,10732,14623,0.246939752,0.73391233,7121,-0.486972577,AL,Lawrence County,,14079,5055,8855,0.359045387,0.62895092,3800,-0.269905533
1081,20987,34321,57668,0.363928002,0.595148089,13334,-0.231220087,AL,Lee County,,54115,21274,32062,0.393125751,0.59247898,10788,-0.199353229
1083,9340,28824,39400,0.237055838,0.731573604,19484,-0.494517766,AL,Limestone County,,35406,9809,25263,0.277043439,0.713523132,15454,-0.436479693
1085,4882,1751,6676,0.731276213,0.262282804,3131,0.468993409,AL,Lowndes County,,7519,5747,1754,0.764330363,0.233275702,3993,0.531054662
1087,7237,1394,8748,0.827274806,0.159350709,5843,0.667924097,AL,Macon County,,10385,9045,1322,0.870967742,0.127298989,7723,0.743668753
1089,62435,89199,159473,0.39150828,0.559336063,26764,-0.167827783,AL,Madison County,,154632,61802,90679,0.399671478,0.586418076,28877,-0.186746598
1091,5607,5224,10948,0.512148338,0.477164779,383,0.034983559,AL,Marengo County,,11509,6154,5321,0.534711965,0.462333826,833,0.072378139
1093,1432,11273,12912,0.110904585,0.873063817,9841,-0.762159232,AL,Marion County,,12104,2249,9696,0.185806345,0.801057502,7447,-0.615251157
1095,4913,29217,34965,0.140511941,0.835607036,24304,-0.695095095,AL,Marshall County,,32455,6271,25785,0.193221383,0.794484671,19514,-0.601263288
1097,68429,91087,163387,0.41881545,0.557492334,22658,-0.138676884,AL,Mobile County,,174189,78417,94566,0.450183421,0.542893064,16149,-0.092709643
1099,4310,5771,10185,0.42317133,0.566617575,1461,-0.143446244,AL,Monroe County,,10680,4897,5730,0.458520599,0.536516854,833,-0.077996255
1101,58669,33928,94572,0.620363321,0.358753119,24741,0.261610202,AL,Montgomery County,,101781,62993,38283,0.618907262,0.376131105,24710,0.242776157
1103,11216,37392,49991,0.224360385,0.747974635,26176,-0.523614251,AL,Morgan County,,49198,13401,35309,0.272389122,0.717691776,21908,-0.445302655
1105,3823,1403,5255,0.727497621,0.266983825,2420,0.460513796,AL,Perry County,,6065,4536,1504,0.747897774,0.247980214,3032,0.49991756
1107,3972,5454,9494,0.418369497,0.574468085,1482,-0.156098589,AL,Pickens County,,9599,4448,5119,0.463381602,0.533284717,671,-0.069903115
1109,5039,7681,13025,0.386871401,0.589712092,2642,-0.202840691,AL,Pike County,,14057,6009,7939,0.427473856,0.564772,1930,-0.137298143
1111,2290,7697,10130,0.226061204,0.75982231,5407,-0.533761106,AL,Randolph County,,10391,3076,7219,0.296025407,0.694735829,4143,-0.398710422
1113,9577,9210,19136,0.500470318,0.481291806,367,0.019178512,AL,Russell County,,18871,10495,8276,0.556144348,0.438556515,2219,0.117587833
1115,5550,31579,37937,0.146295174,0.832406358,26029,-0.686111184,AL,St. Clair County,,35105,5790,29001,0.16493377,0.826121635,23211,-0.661187865
1117,22927,72846,99208,0.231100314,0.734275462,49919,-0.503175147,AL,Shelby County,,92204,19944,71243,0.21630298,0.772667129,51299,-0.556364149
1119,4739,1581,6391,0.741511501,0.247379127,3158,0.494132374,AL,Sumter County,,7025,5420,1585,0.771530249,0.225622776,3835,0.545907473
1121,12108,20596,33218,0.364501174,0.620025287,8488,-0.255524113,AL,Talladega County,,33317,13878,19217,0.416544107,0.576792628,5339,-0.160248522
1123,5271,12967,18504,0.284857328,0.700767402,7696,-0.415910073,AL,Tallapoosa County,,18668,6252,12303,0.33490465,0.659042211,6051,-0.324137562
1125,31746,47701,81708,0.388529887,0.583798404,15955,-0.195268517,AL,Tuscaloosa County,,78495,32003,45703,0.407707497,0.582240907,13700,-0.17453341
1127,4486,24208,29243,0.153404233,0.827822043,19722,-0.674417809,AL,Walker County,,28497,6551,21633,0.229883847,0.75913254,15082,-0.529248693
1129,2366,6031,8492,0.278615167,0.710197833,3665,-0.431582666,AL,Washington County,,8761,2971,5749,0.339116539,0.65620363,2778,-0.317087091
1131,4329,1737,6095,0.710254307,0.284987695,2592,0.425266612,AL,Wilcox County,,6547,4867,1676,0.743393921,0.255995112,3191,0.487398809
1133,871,9225,10255,0.084934178,0.89956119,8354,-0.814627011,AL,Winston County,,9712,1286,8310,0.132413509,0.855642504,7024,-0.723228995
2013,93003,130413,246588,0.377159472,0.528870018,37410,-0.151710546,AK,Alaska,,,,,,,,
2016,93003,130413,246588,0.377159472,0.528870018,37410,-0.151710546,AK,Alaska,,,,,,,,
2020,93003,130413,246588,0.377159472,0.528870018,37410,-0.151710546,AK,Alaska,,,,,,,,
2050,93003,130413,246588,0.377159472,0.528870018,37410,-0.151710546,AK,Alaska,,,,,,,,
2060,93003,130413,246588,0.377159472,0.528870018,37410,-0.151710546,AK,Alaska,,,,,,,,
2068,93003,130413,246588,0.377159472,0.528870018,37410,-0.151710546,AK,Alaska,,,,,,,,
2070,93003,130413,246588,0.377159472,0.528870018,37410,-0.151710546,AK,Alaska,,,,,,,,
2090,93003,130413,246588,0.377159472,0.528870018,37410,-0.151710546,AK,Alaska,,,,,,,,
2100,93003,130413,246588,0.377159472,0.528870018,37410,-0.151710546,AK,Alaska,,,,,,,,
2105,93003,130413,246588,0.377159472,0.528870018,37410,-0.151710546,AK,Alaska,,,,,,,,
2110,93003,130413,246588,0.377159472,0.528870018,37410,-0.151710546,AK,Alaska,,,,,,,,
2122,93003,130413,246588,0.377159472,0.528870018,37410,-0.151710546,AK,Alaska,,,,,,,,
2130,93003,130413,246588,0.377159472,0.528870018,37410,-0.151710546,AK,Alaska,,,,,,,,
2150,93003,130413,246588,0.377159472,0.528870018,37410,-0.151710546,AK,Alaska,,,,,,,,
2164,93003,130413,246588,0.377159472,0.528870018,37410,-0.151710546,AK,Alaska,,,,,,,,
2170,93003,130413,246588,0.377159472,0.528870018,37410,-0.151710546,AK,Alaska,,,,,,,,
2180,93003,130413,246588,0.377159472,0.528870018,37410,-0.151710546,AK,Alaska,,,,,,,,
2185,93003,130413,246588,0.377159472,0.528870018,37410,-0.151710546,AK,Alaska,,,,,,,,
2188,93003,130413,246588,0.377159472,0.528870018,37410,-0.151710546,AK,Alaska,,,,,,,,
2195,93003,130413,246588,0.377159472,0.528870018,37410,-0.151710546,AK,Alaska,,,,,,,,
2198,93003,130413,246588,0.377159472,0.528870018,37410,-0.151710546,AK,Alaska,,,,,,,,
2220,93003,130413,246588,0.377159472,0.528870018,37410,-0.151710546,AK,Alaska,,,,,,,,
2230,93003,130413,246588,0.377159472,0.528870018,37410,-0.151710546,AK,Alaska,,,,,,,,
2240,93003,130413,246588,0.377159472,0.528870018,37410,-0.151710546,AK,Alaska,,,,,,,,
2261,93003,130413,246588,0.377159472,0.528870018,37410,-0.151710546,AK,Alaska,,,,,,,,
2270,93003,130413,246588,0.377159472,0.528870018,37410,-0.151710546,AK,Alaska,,,,,,,,
2275,93003,130413,246588,0.377159472,0.528870018,37410,-0.151710546,AK,Alaska,,,,,,,,
2282,93003,130413,246588,0.377159472,0.528870018,37410,-0.151710546,AK,Alaska,,,,,,,,
2290,93003,130413,246588,0.377159472,0.528870018,37410,-0.151710546,AK,Alaska,,,,,,,,
4001,12196,5315,18659,0.653625596,0.284849134,6881,0.368776462,AZ,Apache County,,25465,16833,8198,0.661024936,0.321932064,8635,0.339092873
4003,15291,25036,43147,0.354393121,0.580248916,9745,-0.225855795,AZ,Cochise County,,43776,16223,26742,0.370591192,0.610882675,10519,-0.240291484
4005,25308,16573,44929,0.563288744,0.368870885,8735,0.194417859,AZ,Coconino County,,46746,26316,19368,0.562957258,0.41432422,6948,0.148633038
4007,6746,13672,21398,0.315263109,0.638938219,6926,-0.32367511,AZ,Gila County,,18477,6650,11525,0.359906911,0.623748444,4875,-0.263841533
4009,3301,8025,11939,0.276488818,0.672166848,4724,-0.39567803,AZ,Graham County,,11854,3608,8076,0.304369833,0.681289016,4468,-0.376919183
4011,1092,1892,3243,0.336725254,0.583410422,800,-0.246685168,AZ,Greenlee County,,2972,1310,1590,0.440780619,0.534993271,280,-0.094212651
4012,1318,3381,4931,0.267288582,0.685662137,2063,-0.418373555,AZ,La Paz County,,4922,1619,3205,0.328931329,0.651158066,1586,-0.322226737
4013,549040,590465,1201934,0.456797129,0.491262415,41425,-0.034465287,AZ,Maricopa County,,1187008,512008,654835,0.431343344,0.551668565,142827,-0.120325221
4015,16485,54656,74189,0.222202752,0.73671299,38171,-0.514510237,AZ,Mohave County,,65949,18324,46442,0.277851067,0.70421083,28118,-0.426359763
4017,15362,18165,35409,0.433844503,0.513005168,2803,-0.079160665,AZ,Navajo County,,35775,16157,19155,0.451628232,0.535429769,2998,-0.083801537
4019,195649,147019,360762,0.542321531,0.40752352,48630,0.134798011,AZ,Pima County,,351817,183470,162927,0.521492708,0.463101556,20543,0.058391152
4021,35737,53857,93805,0.380971164,0.574137839,18120,-0.193166676,AZ,Pinal County,,102139,41428,58947,0.405604128,0.57712529,17519,-0.171521162
4023,10684,3650,14926,0.715797936,0.244539729,7034,0.471258207,AZ,Santa Cruz County,,13894,9486,4235,0.682740751,0.304807831,5251,0.377932921
4025,29705,58862,92780,0.320165984,0.634425523,29157,-0.314259539,AZ,Yavapai County,,96790,32624,62385,0.337059614,0.644539725,29761,-0.307480112
4027,18336,20586,40759,0.449863834,0.505066366,2250,-0.055202532,AZ,Yuma County,,33935,14025,19500,0.413290113,0.574627965,5475,-0.161337852
5001,1939,3825,6167,0.314415437,0.620236744,1886,-0.305821307,AR,Arkansas County,,6488,2454,3892,0.378236745,0.599876695,1438,-0.221639951
5003,2408,5338,8027,0.299987542,0.665005606,2930,-0.365018064,AR,Ashley County,,7915,2855,4866,0.360707517,0.614782059,2011,-0.254074542
5005,4163,14655,19572,0.212701819,0.748773758,10492,-0.53607194,AR,Baxter County,,19339,5172,13688,0.267438854,0.707792544,8516,-0.440353689
5007,27894,60751,94262,0.295919883,0.644490887,32857,-0.348571004,AR,Benton County,,77525,22144,53477,0.285636891,0.689803289,31333,-0.404166398
5009,2925,12225,15912,0.183823529,0.768288084,9300,-0.584464555,AR,Boone County,,15363,3762,11143,0.244874048,0.725314066,7381,-0.480440018
5011,1317,2163,3617,0.364113907,0.5980094,846,-0.233895494,AR,Bradley County,,3634,1447,2118,0.398183819,0.582828839,671,-0.184645019
5013,636,1554,2250,0.282666667,0.690666667,918,-0.408,AR,Calhoun County,,2174,660,1458,0.303587856,0.670653174,798,-0.367065317
5015,3334,6773,10656,0.312875375,0.635604354,3439,-0.322728979,AR,Carroll County,,10172,3691,6121,0.362858828,0.601749902,2430,-0.238891074
5017,2350,1716,4149,0.566401543,0.413593637,634,0.152807906,AR,Chicot County,,4361,2649,1670,0.607429489,0.382939693,979,0.224489796
5019,3606,4398,8365,0.431081889,0.525762104,792,-0.094680215,AR,Clark County,,8406,3808,4343,0.453009755,0.51665477,535,-0.063645015
5021,1999,3779,5978,0.334392774,0.632151221,1780,-0.297758448,AR,Clay County,,5110,1738,3225,0.340117417,0.63111546,1487,-0.290998043
5023,2101,9454,11968,0.175551471,0.78993984,7353,-0.614388369,AR,Cleburne County,,11643,2618,8691,0.224856137,0.746457099,6073,-0.521600962
5025,723,2460,3299,0.21915732,0.745680509,1737,-0.526523189,AR,Cleveland County,,3266,845,2313,0.258726271,0.708205756,1468,-0.449479486
5027,3140,5456,8837,0.355324205,0.617404096,2316,-0.262079891,AR,Columbia County,,9455,3557,5790,0.376203067,0.612374405,2233,-0.236171338
5029,2655,4844,7837,0.338777593,0.618093658,2189,-0.279316065,AR,Conway County,,7724,3003,4511,0.388788193,0.584023822,1508,-0.195235629
5031,10474,22798,34968,0.299531,0.651967513,12324,-0.352436513,AR,Craighead County,,31207,10351,20044,0.331688403,0.642291794,9693,-0.31060339
5033,4476,16655,22155,0.202031144,0.751749041,12179,-0.549717897,AR,Crawford County,,20562,4872,15125,0.236941932,0.735580196,10253,-0.498638265
5035,8368,6953,15798,0.529687302,0.440119002,1415,0.0895683,AR,Crittenden County,,15513,9092,6192,0.586089087,0.399149101,2900,0.186939986
5037,1995,4577,6831,0.292050944,0.67003367,2582,-0.377982726,AR,Cross County,,6680,2279,4268,0.341167665,0.638922156,1989,-0.297754491
5039,1165,1507,2741,0.425027362,0.549799343,342,-0.124771981,AR,Dallas County,,3083,1337,1664,0.433668505,0.539734025,327,-0.106065521
5041,2227,1915,4226,0.526975864,0.453147184,312,0.07382868,AR,Desha County,,4240,2353,1807,0.55495283,0.426179245,546,0.128773585
5043,2364,3967,6552,0.360805861,0.60546398,1603,-0.24465812,AR,Drew County,,6626,2627,3883,0.396468458,0.586024751,1256,-0.189556293
5045,14525,29170,46364,0.313281857,0.629151928,14645,-0.315870072,AR,Faulkner County,,41322,13559,26653,0.328130294,0.645007502,13094,-0.316877208
5047,1376,5034,6698,0.205434458,0.751567632,3658,-0.546133174,AR,Franklin County,,6539,1725,4631,0.263801805,0.708212265,2906,-0.44441046
5049,1067,3470,4744,0.224915683,0.731450253,2403,-0.50653457,AR,Fulton County,,4522,1452,2949,0.32109686,0.652145069,1497,-0.331048209
5051,12283,26053,40337,0.304509507,0.645883432,13770,-0.341373925,AR,Garland County,,39241,13317,25031,0.33936444,0.637878749,11714,-0.298514309
5053,1407,5160,6855,0.205251641,0.75273523,3753,-0.547483589,AR,Grant County,,6478,1467,4829,0.226458784,0.745446125,3362,-0.518987342
5055,3056,10698,14422,0.211898488,0.741783386,7642,-0.529884898,AR,Greene County,,13754,3998,9066,0.290679075,0.659153701,5068,-0.368474626
5057,2371,4391,6984,0.339490263,0.628722795,2020,-0.289232532,AR,Hempstead County,,6919,2466,4284,0.356409886,0.619164619,1818,-0.262754733
5059,3137,8153,11815,0.265509945,0.690055015,5016,-0.42454507,AR,Hot Spring County,,11239,3824,7087,0.340243794,0.630572115,3263,-0.290328321
5061,1350,3155,4634,0.291324989,0.68083729,1805,-0.3895123,AR,Howard County,,4419,1460,2862,0.330391491,0.647657841,1402,-0.31726635
5063,2878,9925,13443,0.214089117,0.738302462,7047,-0.524213345,AR,Independence County,,12390,3279,8724,0.26464891,0.704116223,5445,-0.439467312
5065,1111,4042,5396,0.205893254,0.749073388,2931,-0.543180133,AR,Izard County,,5313,1563,3571,0.294184077,0.672124976,2008,-0.3779409
5067,1583,3262,5093,0.310818771,0.640486943,1679,-0.329668172,AR,Jackson County,,5338,2093,3065,0.392094417,0.574185088,972,-0.182090671
5069,15721,9231,25683,0.612116965,0.359420628,6490,0.252696336,AR,Jefferson County,,27364,17456,9515,0.637918433,0.347719632,7941,0.290198801
5071,2421,6072,8997,0.269089697,0.674891631,3651,-0.405801934,AR,Johnson County,,8064,2785,5045,0.345362103,0.62562004,2260,-0.280257937
5073,1028,1750,2835,0.362610229,0.617283951,722,-0.254673721,AR,Lafayette County,,2928,1173,1712,0.400614754,0.584699454,539,-0.184084699
5075,1263,4064,5629,0.224373779,0.721975484,2801,-0.497601705,AR,Lawrence County,,5537,1786,3535,0.322557342,0.638432364,1749,-0.315875023
5077,1735,1229,3004,0.577563249,0.409121172,506,0.168442077,AR,Lee County,,3424,2107,1280,0.61536215,0.373831776,827,0.241530374
5079,1252,2455,3814,0.328264289,0.643681175,1203,-0.315416885,AR,Lincoln County,,3725,1424,2199,0.382281879,0.59033557,775,-0.208053691
5081,1397,3604,5192,0.269067797,0.694144838,2207,-0.425077042,AR,Little River County,,5051,1552,3385,0.307265888,0.670164324,1833,-0.362898436
5083,1712,5737,7839,0.218395203,0.731853553,4025,-0.513458349,AR,Logan County,,7330,2009,5078,0.274079127,0.692769441,3069,-0.418690314
5085,5638,19902,26766,0.210640365,0.743555257,14264,-0.532914892,AR,Lonoke County,,24083,5612,17863,0.233027447,0.741726529,12251,-0.508699082
5087,1587,4917,6782,0.234001769,0.725007372,3330,-0.491005603,AR,Madison County,,6567,2099,4262,0.319628445,0.649002589,2163,-0.329374143
5089,1377,5077,6718,0.204971718,0.755730872,3700,-0.550759155,AR,Marion County,,7029,2024,4771,0.287949922,0.678759425,2747,-0.390809503
5091,4273,11293,16015,0.266812363,0.705151421,7020,-0.438339057,AR,Miller County,,15329,4518,10622,0.294735469,0.69293496,6104,-0.398199491
5093,5621,6988,12995,0.432550981,0.537745287,1367,-0.105194306,AR,Mississippi County,,13349,6445,6599,0.482807701,0.494344146,154,-0.011536445
5095,1298,1400,2766,0.469269704,0.506146059,102,-0.036876356,AR,Monroe County,,3230,1583,1585,0.490092879,0.490712074,2,-0.000619195
5097,735,2573,3445,0.213352685,0.746879536,1838,-0.533526851,AR,Montgomery County,,3403,920,2368,0.270349691,0.695856597,1448,-0.425506906
5099,1156,2001,3233,0.357562635,0.618929787,845,-0.261367151,AR,Nevada County,,3384,1314,1996,0.388297872,0.589834515,682,-0.201536643
5101,699,2875,3731,0.187349236,0.770570893,2176,-0.583221656,AR,Newton County,,3661,993,2508,0.271237367,0.685058727,1515,-0.41382136
5103,4320,5347,9881,0.437202712,0.541139561,1027,-0.103936848,AR,Ouachita County,,10303,4626,5516,0.448995438,0.535378045,890,-0.086382607
5105,1035,2979,4213,0.24566817,0.70709708,1944,-0.461428911,AR,Perry County,,3937,1187,2580,0.301498603,0.655321311,1393,-0.353822708
5107,4292,2443,6894,0.622570351,0.354366115,1849,0.268204236,AR,Phillips County,,7900,5179,2591,0.65556962,0.327974684,2588,0.327594937
5109,684,3150,3956,0.172901921,0.796258847,2466,-0.623356926,AR,Pike County,,3787,850,2847,0.224452073,0.751782414,1997,-0.527330341
5111,1878,3149,5283,0.355479841,0.596062843,1271,-0.240583002,AR,Poinsett County,,7550,2387,4967,0.31615894,0.657880795,2580,-0.341721854
5113,1210,6606,8121,0.148996429,0.81344662,5396,-0.664450191,AR,Polk County,,7721,1556,5950,0.201528299,0.770625567,4394,-0.569097267
5115,4818,15694,21545,0.223624971,0.72842887,10876,-0.504803899,AR,Pope County,,20390,5108,14733,0.250514958,0.722560078,9625,-0.47204512
5117,812,2503,3404,0.238542891,0.735311398,1691,-0.496768508,AR,Prairie County,,3134,877,2149,0.279834078,0.685705169,1272,-0.405871091
5119,89377,61182,157728,0.566652719,0.387895618,28195,0.178757101,AR,Pulaski County,,159055,87055,68856,0.547326397,0.432906856,18199,0.11441954
5121,1425,4508,6313,0.225724695,0.714082053,3083,-0.488357358,AR,Randolph County,,5948,2040,3699,0.342972428,0.621889711,1659,-0.278917283
5123,4031,3195,7412,0.543847814,0.431057744,836,0.11279007,AR,St. Francis County,,8021,4652,3287,0.579977559,0.409799277,1365,0.170178282
5125,13247,35852,51971,0.254892151,0.68984626,22605,-0.434954109,AR,Saline County,,47059,12868,32962,0.273443975,0.700439873,20094,-0.426995899
5127,507,2378,3017,0.16804773,0.788200199,1871,-0.620152469,AR,Scott County,,3637,895,2630,0.246081936,0.723123453,1735,-0.477041518
5129,601,2955,3698,0.162520281,0.799080584,2354,-0.636560303,AR,Searcy County,,3694,814,2699,0.220357336,0.730644288,1885,-0.510286952
5131,12184,28769,43557,0.279725417,0.660490851,16585,-0.380765434,AR,Sebastian County,,43340,13083,29158,0.301868943,0.672773419,16075,-0.370904476
5133,1075,3281,4517,0.237989816,0.726367058,2206,-0.488377242,AR,Sevier County,,4328,1042,3135,0.240757856,0.72435305,2093,-0.483595194
5135,1472,5405,7190,0.20472879,0.751738526,3933,-0.547009736,AR,Sharp County,,7282,2092,4920,0.287283713,0.675638561,2828,-0.388354848
5137,1189,4081,5527,0.215125746,0.738375249,2892,-0.523249502,AR,Stone County,,5351,1356,3773,0.253410577,0.70510185,2417,-0.451691273
5139,5667,10201,16338,0.346860081,0.624372628,4534,-0.277512547,AR,Union County,,17160,6182,10696,0.36025641,0.623310023,4514,-0.263053613
5141,1547,5382,7111,0.217550274,0.756855576,3835,-0.539305302,AR,Van Buren County,,6421,1826,4362,0.28437938,0.679333437,2536,-0.394954057
5143,32296,40418,78153,0.413240695,0.517165048,8122,-0.103924354,AR,Washington County,,70231,28136,39570,0.400620808,0.563426407,11434,-0.162805599
5145,5157,21038,27451,0.187862009,0.766383738,15881,-0.57852173,AR,White County,,26508,5765,20005,0.217481515,0.754677833,14240,-0.537196318
5147,1117,1344,2550,0.438039216,0.527058824,227,-0.089019608,AR,Woodruff County,,2685,1340,1227,0.499068901,0.45698324,113,0.042085661
5149,1472,4600,6389,0.230395993,0.719987478,3128,-0.489591485,AR,Yell County,,5971,1720,4041,0.288058952,0.67677106,2321,-0.388712109
6001,486351,91189,613195,0.793142475,0.148711258,395162,0.644431217,CA,Alameda County,,558386,438091,104330,0.78456659,0.186842077,333761,0.597724513
6003,318,211,575,0.553043478,0.366956522,107,0.186086957,CA,Alpine County,,647,389,236,0.601236476,0.364760433,153,0.236476043
6005,5904,10239,17186,0.343535436,0.595775631,4335,-0.252240196,CA,Amador County,,15303,6001,8903,0.392145331,0.58178135,2902,-0.189636019
6007,38676,42193,87847,0.440265462,0.480300978,3517,-0.040035516,CA,Butte County,,70163,32567,35312,0.464162023,0.503285207,2745,-0.039123185
6009,7738,13072,22334,0.34646727,0.585295961,5334,-0.238828692,CA,Calaveras County,,18469,7404,10537,0.400887974,0.57052358,3133,-0.169635606
6011,2518,3464,6346,0.396785377,0.545855657,946,-0.14907028,CA,Colusa County,,5865,2248,3521,0.383290708,0.600341006,1273,-0.217050298
6013,286658,105819,415972,0.689128114,0.254389719,180839,0.434738396,CA,Contra Costa County,,351257,230826,112547,0.657142776,0.32041212,118279,0.336730656
6015,3485,5134,9361,0.372289285,0.548445679,1649,-0.176156394,CA,Del Norte County,,7940,3396,4256,0.427707809,0.536020151,860,-0.108312343
